ec_id	go_id
1.1.5.2	GO:0008876
1.1.5.3	GO:0004368
1.1.5.4	GO:0008924,GO:0052589
1.1.5.8	GO:0047519
1.1.5.9	GO:0140762
1.1.7.1	GO:0018525
1.1.98.2	GO:0052749
1.1.99.1	GO:0008812
1.1.99.11	GO:0047904
1.1.99.12	GO:0050288
1.1.99.13	GO:0033757
1.1.99.14	GO:0019154
1.1.99.18	GO:0047735
1.1.99.2	GO:0047545
1.1.99.20	GO:0047645
1.1.99.21	GO:0047833
1.1.99.22	GO:0047955
1.1.99.24	GO:0047988
1.1.99.26	GO:0047564
1.1.99.27	GO:0047060
1.1.99.28	GO:0047061
1.1.99.29	GO:0033718
1.1.99.3	GO:0033717
1.1.99.30	GO:0033719
1.1.99.31	GO:0033720
1.1.99.35	GO:0004344
1.1.99.39	GO:0051990
1.1.99.4	GO:0047843
1.1.99.6	GO:0047809
1.1.99.7	GO:0050042
1.1.99.9	GO:0050238
1.10.1.1	GO:0047062
1.10.3.1	GO:0004097
1.10.3.11	GO:0102721
1.10.3.2	GO:0052716
1.10.3.3	GO:0008447
1.10.3.4	GO:0050149
1.10.3.5	GO:0047561
1.10.3.6	GO:0050264
1.10.3.9	GO:0010242
1.10.5.1	GO:0001512
1.11.1.1	GO:0016692
1.11.1.10	GO:0016691
1.11.1.11	GO:0016688
1.11.1.12	GO:0047066
1.11.1.13	GO:0016689
1.11.1.14	GO:0016690
1.11.1.16	GO:0052750
1.11.1.18	GO:0019806
1.11.1.2	GO:0050137
1.11.1.24	GO:0140824
1.11.1.26	GO:0102039
1.11.1.3	GO:0047888
1.11.1.5	GO:0004130
1.11.1.6	GO:0004096
1.11.1.7	GO:0140825
1.11.1.8	GO:0004447
1.11.1.9	GO:0004602
1.11.2.3	GO:0102070,GO:1990137
1.12.1.2	GO:0047985
1.12.1.3	GO:0050583
1.12.1.4	GO:0102220
1.12.2.1	GO:0047806
1.12.5.1	GO:0047067
1.12.7.2	GO:0008901
1.12.98.1	GO:0050454
1.12.98.2	GO:0047068
1.12.98.3	GO:0051911
1.12.98.4	GO:0033796
1.12.99.6	GO:0033748
1.13.11.1	GO:0018576
1.13.11.10	GO:0047069
1.13.11.11	GO:0004833
1.13.11.12	GO:0016165
1.13.11.14	GO:0045133
1.13.11.15	GO:0008687
1.13.11.16	GO:0047070
1.13.11.17	GO:0047719
1.13.11.18	GO:0050313
1.13.11.19	GO:0047800
1.13.11.2	GO:0018577
1.13.11.20	GO:0017172
1.13.11.22	GO:0047762
1.13.11.23	GO:0047528
1.13.11.24	GO:0008127
1.13.11.25	GO:0047071
1.13.11.27	GO:0003868
1.13.11.28	GO:0047072
1.13.11.29	GO:0050297
1.13.11.3	GO:0018578
1.13.11.30	GO:0050298
1.13.11.31	GO:0004052
1.13.11.33	GO:0050473
1.13.11.34	GO:0004051
1.13.11.35	GO:0050240
1.13.11.36	GO:0047744
1.13.11.37	GO:0018581,GO:0047074
1.13.11.38	GO:0018582
1.13.11.39	GO:0018583
1.13.11.4	GO:0047922
1.13.11.40	GO:0047677
1.13.11.41	GO:0047073
1.13.11.43	GO:0050054
1.13.11.45	GO:0050584
1.13.11.46	GO:0050585
1.13.11.47	GO:0047078
1.13.11.48	GO:0050586
1.13.11.49	GO:0050587
1.13.11.5	GO:0004411
1.13.11.50	GO:0033752
1.13.11.51	GO:0045549
1.13.11.52	GO:0033754
1.13.11.53	GO:0010308
1.13.11.54	GO:0010309
1.13.11.55	GO:0033755
1.13.11.56	GO:0018554
1.13.11.57	GO:0036238
1.13.11.58	GO:1990136
1.13.11.6	GO:0000334
1.13.11.60	GO:0052878
1.13.11.61	GO:0102299,GO:0102300
1.13.11.63	GO:0003834
1.13.11.65	GO:0106422
1.13.11.67	GO:0050588
1.13.11.68	GO:0102395
1.13.11.69	GO:0102396
1.13.11.70	GO:0102251
1.13.11.71	GO:0102076
1.13.11.75	GO:0102162
1.13.11.79	GO:0102919
1.13.11.8	GO:0018579
1.13.11.9	GO:0047075
1.13.12.1	GO:0047678
1.13.12.13	GO:0033756
1.13.12.16	GO:0018580
1.13.12.19	GO:0102276
1.13.12.2	GO:0050067
1.13.12.3	GO:0050361
1.13.12.4	GO:0050040
1.13.12.5	GO:0050248
1.13.12.6	GO:0047712
1.13.12.7	GO:0047077
1.13.12.8	GO:0050397
1.13.12.9	GO:0050172
1.13.99.1	GO:0050113
1.13.99.3	GO:0050360
1.14.11.1	GO:0008336
1.14.11.10	GO:0047079
1.14.11.11	GO:0047998
1.14.11.12	GO:0047927
1.14.11.13	GO:0045543,GO:0052634
1.14.11.15	GO:0016707
1.14.11.16	GO:0062101
1.14.11.17	GO:0000908
1.14.11.18	GO:0048244
1.14.11.2	GO:0004656
1.14.11.20	GO:0050590
1.14.11.21	GO:0033758
1.14.11.24	GO:0033760
1.14.11.25	GO:0033761,GO:0052860
1.14.11.26	GO:0045442
1.14.11.27	GO:0140680
1.14.11.28	GO:0033763
1.14.11.29	GO:0160082
1.14.11.3	GO:0047080
1.14.11.30	GO:0036140
1.14.11.31	GO:0102802,GO:0102804
1.14.11.32	GO:0102803,GO:0102805
1.14.11.33	GO:0035516
1.14.11.4	GO:0008475
1.14.11.41	GO:0102525
1.14.11.42	GO:0102524
1.14.11.53	GO:1990931
1.14.11.54	GO:1990930
1.14.11.59	GO:0102717
1.14.11.6	GO:0050341
1.14.11.60	GO:0106145
1.14.11.62	GO:0102312
1.14.11.63	GO:0106155
1.14.11.64	GO:0106343
1.14.11.65	GO:0140683
1.14.11.66	GO:0140684
1.14.11.67	GO:0034647
1.14.11.68	GO:0071558
1.14.11.69	GO:0140681
1.14.11.7	GO:0019797
1.14.11.73	GO:0106157
1.14.11.8	GO:0050353
1.14.11.80	GO:0070579
1.14.11.9	GO:0045486
1.14.12.1	GO:0018618
1.14.12.10	GO:0018623
1.14.12.11	GO:0018624
1.14.12.12	GO:0018625
1.14.12.13	GO:0018626
1.14.12.14	GO:0018627
1.14.12.15	GO:0018628
1.14.12.16	GO:0018629
1.14.12.17	GO:0008941
1.14.12.18	GO:0018687
1.14.12.19	GO:0008695
1.14.12.25	GO:0018570
1.14.12.3	GO:0018619
1.14.12.7	GO:0018620
1.14.12.8	GO:0018621
1.14.12.9	GO:0018622
1.14.13.1	GO:0018658
1.14.13.10	GO:0018663
1.14.13.101	GO:0033784
1.14.13.107	GO:0018635,GO:0052601,GO:0106319,GO:0106320
1.14.13.111	GO:0018648
1.14.13.113	GO:0102099
1.14.13.114	GO:0043731
1.14.13.122	GO:0010277
1.14.13.127	GO:0008688
1.14.13.135	GO:0018637
1.14.13.14	GO:0050344
1.14.13.146	GO:0036203
1.14.13.148	GO:0034899
1.14.13.149	GO:0097266
1.14.13.155	GO:0018634
1.14.13.16	GO:0047799
1.14.13.166	GO:0018592
1.14.13.167	GO:0018632
1.14.13.168	GO:0103075
1.14.13.170	GO:0102285
1.14.13.172	GO:0034785
1.14.13.18	GO:0018665
1.14.13.182	GO:0102164
1.14.13.19	GO:0050326
1.14.13.2	GO:0018659
1.14.13.20	GO:0018666
1.14.13.218	GO:0102169
1.14.13.22	GO:0018667
1.14.13.23	GO:0018668
1.14.13.24	GO:0018669
1.14.13.241	GO:0047592
1.14.13.242	GO:0047081
1.14.13.243	GO:0018644
1.14.13.25	GO:0015049,GO:0106317,GO:0106318
1.14.13.27	GO:0018670
1.14.13.29	GO:0018601
1.14.13.31	GO:0047549
1.14.13.32	GO:0047638
1.14.13.33	GO:0018671
1.14.13.34	GO:0050052
1.14.13.35	GO:0018672
1.14.13.38	GO:0047670
1.14.13.39	GO:0004517
1.14.13.4	GO:0050091
1.14.13.40	GO:0018673
1.14.13.43	GO:0050246
1.14.13.44	GO:0047544,GO:0102321
1.14.13.46	GO:0047505
1.14.13.5	GO:0047717
1.14.13.50	GO:0018677
1.14.13.51	GO:0047597
1.14.13.54	GO:0047086
1.14.13.58	GO:0047090
1.14.13.59	GO:0047091
1.14.13.6	GO:0018661
1.14.13.61	GO:0033766
1.14.13.62	GO:0047093
1.14.13.63	GO:0047094
1.14.13.64	GO:0018678
1.14.13.66	GO:0047095
1.14.13.69	GO:0018645
1.14.13.7	GO:0018662
1.14.13.8	GO:0004499,GO:0047822
1.14.13.81	GO:0048529
1.14.13.82	GO:0018489
1.14.13.83	GO:0043818
1.14.13.84	GO:0033767
1.14.13.9	GO:0004502
1.14.13.92	GO:0033776
1.14.14.1	GO:0070330
1.14.14.10	GO:0018529,GO:0102977
1.14.14.100	GO:0047088
1.14.14.101	GO:0047089
1.14.14.102	GO:0050593
1.14.14.103	GO:0050594
1.14.14.104	GO:0050596
1.14.14.105	GO:0050597
1.14.14.106	GO:0050598
1.14.14.108	GO:0018684
1.14.14.109	GO:0036192
1.14.14.110	GO:0036193
1.14.14.111	GO:0036209
1.14.14.112	GO:0036202
1.14.14.113	GO:0102068
