reaction_id	kegg_orthologs	kegg_ec
R06528	K05848,K12348,K12349	3.5.1.23
R01445	K16213	5.1.3.11
R03769		2.4.1.48
R09941	K18783	2.4.1.279
R07760	K10703	4.2.1.134
R10170	K01702,K01703,K01704,K21359	4.2.1.33
R12228		1.14.14.160
R10528	K17064	1.1.1.272
R11893	K10807,K10808	1.17.4.1
R05140	K00692	2.4.1.10
R12405	K09827,K13373	1.1.1.270
R11613	K21592	2.7.8.46
R12488		4.2.1.175
R12861	K09809	2.7.8.12
R06631	K16436	2.6.1.-
R03892		
R07186	K18054	1.14.11.25
R12696	K01628,K01636	4.1.2.17,4.1.2.-
R11176		
R07676	K18106,K19634,K19642	1.1.1.365,1.1.1.-
R12958	K01081,K02566,K03787,K06952,K07023,K08693,K08722,K11751,K19970	3.1.3.5,3.1.3.89
R01104	K01189,K07406,K07407	3.2.1.22
R11761		
R01961	K00844,K18676	2.7.1.1,2.7.1.8
R04375		1.1.1.-
R07403	K13223	1.14.14.153
R11235		
R06443		
R03438	K13510	2.3.1.23,2.3.1.63
R06661		
R10520	K19243	1.1.1.363,1.1.1.388
R07876	K21383	2.3.1.215
R12246	K23148	2.7.1.224
R03898	K01703,K01704	4.2.1.35
R11305		
R12265		1.2.1.102
R07635		4.6.1.14
R06981		1.1.2.-
R01197	K00174,K00175,K00176,K00177	1.2.7.3,1.2.7.11
R07483	K00222	1.3.1.70
R02462		1.1.1.164,1.1.1.192
R03498		1.1.1.142
R03725		
R08536		1.1.1.15
R06072	K13648	2.4.1.43
R02671	K00599	2.1.1.-
R02330		3.6.1.39
R04061	K04098	1.13.11.37
R05651	K03852	2.3.3.15
R04622		
R10578		1.13.11.77
R06207		3.2.1.25
R04173	K00831	2.6.1.52
R06272	K19073	1.3.1.75
R10136	K15066	2.1.1.341
R08805	K13233	2.3.1.218
R06464	K16006	1.14.15.33
R12956	K06966	3.2.2.10
R00987	K01556	3.7.1.3
R09969		4.2.3.114
R13093	K19649	1.1.1.327
R06372		1.3.99.25
R06735		2.3.1.185
R08181	K01068,K17360	3.1.2.2
R08434	K25998	
R05273		1.2.3.9
R09040	K13565	2.5.1.93
R03678	K08101	1.3.7.4
R06066	K00689	2.4.1.5,2.4.1.125
R08217		2.7.1.-
R10277		4.3.1.28
R05640	K05917	1.14.14.154
R03784	K00513	1.14.14.16
R02155	K00546	2.1.1.8
R11851	K22947	4.2.3.186
R09763	K02527	2.4.99.14
R09084	K00918	2.7.1.146
R01884	K01470	3.5.2.10
R04074		2.4.2.36
R10901		6.3.2.45
R07319		5.1.3.21
R11763	K00072,K04119	1.1.1.153,1.1.1.213
R08334		
R11974	K22634	1.14.14.62
R08073		
R11862		4.3.2.8
R03879		1.1.1.-
R07441	K12355	1.2.1.68
R06992		
R10660	K18209,K18210	1.3.4.1
R11669	K21785	
R02142	K00760,K00769,K03816,K15780,K19836	2.4.2.8,2.4.2.22
R05957	K00780,K03368	2.4.3.2
R09334	K15949	1.1.3.45
R07358		1.6.5.2,1.6.5.9
R00090		1.11.1.1
R06077		3.2.1.21
R02798		
R12018		1.14.19.55
R00092		1.16.1.7
R11258		3.9.1.3
