pathway_id	pathway_name	pathway_reactions	pathway_kos	pathway_compounds
map05020	Prion disease		K00234,K00235,K00236,K00237,K00411,K00412,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420,K00922,K02084,K02125,K02126,K02127,K02128,K02131,K02132,K02133,K02134,K02135,K02136,K02137,K02138,K02158,K02159,K02187,K02256,K02261,K02262,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02271,K02272,K02273,K02599,K02649,K02725,K02726,K02727,K02728,K02729,K02730,K02731,K02732,K02734,K02735,K02736,K02737,K02738,K02739,K03028,K03029,K03030,K03031,K03032,K03033,K03035,K03036,K03037,K03038,K03039,K03061,K03062,K03063,K03064,K03065,K03066,K03083,K03097,K03115,K03156,K03237,K03283,K03878,K03879,K03880,K03881,K03882,K03883,K03884,K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944,K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K03957,K03958,K03959,K03960,K03961,K03962,K03963,K03964,K03965,K03966,K03967,K03968,K03986,K03987,K03988,K03994,K03995,K03996,K03997,K03998,K03999,K04000,K04345,K04348,K04371,K04374,K04383,K04392,K04399,K04440,K04441,K04450,K04452,K04519,K04565,K04741,K04849,K04850,K04851,K04853,K04857,K04958,K04959,K04960,K04961,K04962,K04963,K05208,K05209,K05210,K05211,K05212,K05213,K05214,K05405,K05634,K05635,K05703,K05862,K05863,K05870,K06068,K06268,K06278,K06491,K06691,K06693,K07374,K07375,K07860,K08009,K08010,K08011,K08012,K08738,K08860,K09047,K09048,K09049,K09203,K09490,K09553,K09565,K10396,K10407,K10881,K11351,K11352,K11353,K12499,K12958,K12959,K15040,K15041,K20858,K21421	C00027,C00076,C00575,C00704,C02140
map07052	Antidyslipidemic agents			
map07049	Antithrombosis agents			
map04981	Folate transport and metabolism		K00287,K00288,K00544,K00547,K00548,K00560,K00600,K01930,K01934,K05043,K05665,K05666,K05667,K05668,K05673,K05681,K08203,K08205,K13649,K14352,K14592,K14609,K14613,K25004	C00019,C00021,C00073,C00080,C00101,C00114,C00143,C00155,C00157,C00364,C00365,C00415,C00440,C00445,C00504,C00719,C01026,C01937,C01996,C03479
map07216	Catecholamine transferase inhibitors			C01108,C15474,C15475,C15476,C15477
map07027	Antidepressants			
map07042	Antineoplastics - agents from natural products			C01897
map05160	Hepatitis C		K00922,K01165,K02084,K02089,K02091,K02105,K02158,K02159,K02187,K02206,K02373,K02580,K02649,K02833,K02861,K03083,K03099,K03156,K03158,K03171,K03173,K03174,K03175,K03237,K03250,K03456,K04354,K04357,K04361,K04364,K04365,K04366,K04368,K04369,K04371,K04377,K04382,K04389,K04390,K04398,K04399,K04451,K04456,K04467,K04503,K04687,K04692,K04693,K04696,K04706,K04724,K04726,K04734,K04735,K05130,K05131,K05401,K05410,K05411,K05414,K05415,K05842,K06087,K06088,K06508,K06618,K06620,K06625,K06630,K06698,K07209,K07210,K07211,K07294,K07827,K07828,K08524,K08536,K08738,K08845,K08860,K09389,K09447,K11217,K11219,K11220,K11221,K12473,K12646,K12648,K12671,K13885,K14021,K14216,K14217,K14754,K15045,K16194,K16195,K16196,K16197,K16198,K17454,K22271,K22272,K22273,K22274,K22275,K22472,K22497,K22498,K24861	C05981,C20935
map05146	Amoebiasis		K00922,K01319,K01476,K02187,K02580,K02649,K02677,K03156,K03997,K03998,K03999,K04000,K04072,K04345,K04386,K04387,K04391,K04455,K04519,K04632,K04633,K04634,K04635,K04636,K04637,K04687,K04735,K05405,K05406,K05425,K05427,K05443,K05505,K05635,K05636,K05637,K05699,K05700,K05717,K05725,K05858,K06236,K06237,K06240,K06241,K06243,K06244,K06245,K06246,K06247,K06448,K06461,K06464,K06856,K07887,K07888,K07889,K07897,K07898,K08041,K08570,K10030,K10159,K10160,K10955,K13241,K13279,K13375,K13376,K13377,K13963,K13968,K13969,K13970,K13971,K13972,K13973,K13974,K13975,K13976,K13977,K13978,K19662,K19663,K19720,K23601,K23602	C00027,C00062,C00076,C00165,C00219,C00533,C00575,C00584,C01074,C01245,C01498,C02737,C18287
map01320	Sulfur cycle	R00029,R00029,R00509,R00509,R00529,R00529,R00858,R00858,R00859,R00859,R00861,R00861,R00897,R00897,R02021,R02021,R02574,R02574,R03533,R03533,R05717,R05717,R07177,R07177,R07365,R07365,R08553,R08553,R09499,R09499,R10150,R10150,R10151,R10151,R10419,R10419,R10438,R10438,R13227,R13227,R13400,R13400,R13452,R13452,R13453,R13453	K00380,K00381,K00390,K00392,K00394,K00395,K00860,K00955,K00956,K00957,K00958,K01738,K05907,K05908,K08357,K08358,K08359,K11180,K11181,K13034,K13811,K16936,K16937,K16952,K16953,K17069,K17219,K17220,K17221,K17222,K17223,K17224,K17225,K17226,K17227,K17229,K17230,K18367,K19713,K22622,K27187,K27188,K27189,K27190,K27191,K27196,K27925,K28067,K28068,K28069,K28072,K28073,K16952	C00053,C00059,C00087,C00094,C00097,C00224,C00283,C00320,C00511,C00580,C00894,C01013,C02084,C04022,C09306
map07015	Local analgesics			C14166,C14167,C14168,C14170,C14171,C14172,C14173
map04970	Salivary secretion		K01176,K01242,K01538,K01539,K01540,K02183,K02677,K04131,K04135,K04136,K04137,K04141,K04142,K04143,K04345,K04632,K04634,K04936,K04945,K04958,K04959,K04960,K04963,K04975,K05742,K05850,K05858,K07376,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K09867,K10951,K12318,K12319,K12550,K13240,K13504,K13855,K13879,K13897,K13898,K13899,K13900,K13901,K13908,K13909,K13910,K13911,K13912,K13913,K13914,K13915,K13916,K18152,K19477,K19662,K19663	C00001,C00011,C00076,C00080,C00165,C00238,C00288,C00533,C00547,C00575,C00698,C00942,C01245,C01330,C01353,C01996,C13050
map00564	Glycerophospholipid metabolism	R00748,R00748,R00749,R00749,R00842,R00842,R00844,R00844,R00846,R00846,R00848,R00848,R00851,R00851,R00855,R00855,R00856,R00856,R01013,R01013,R01021,R01021,R01023,R01023,R01026,R01026,R01030,R01030,R01310,R01310,R01312,R01312,R01315,R01315,R01316,R01316,R01318,R01318,R01319,R01319,R01320,R01320,R01321,R01321,R01468,R01468,R01470,R01470,R01797,R01797,R01799,R01799,R01800,R01800,R01801,R01801,R01802,R01802,R01890,R01890,R02027,R02027,R02029,R02029,R02030,R02030,R02037,R02037,R02038,R02038,R02051,R02051,R02052,R02052,R02053,R02053,R02054,R02054,R02055,R02055,R02056,R02056,R02057,R02057,R02114,R02114,R02239,R02239,R02240,R02240,R02241,R02241,R02242,R02242,R02563,R02563,R02746,R02746,R02747,R02747,R02756,R02756,R02817,R02817,R03360,R03360,R03416,R03416,R03417,R03417,R03424,R03424,R04034,R04034,R04158,R04158,R04480,R04480,R04520,R04520,R04864,R04864,R05381,R05381,R05382,R05382,R05679,R05679,R05680,R05680,R05794,R05794,R06868,R06868,R06869,R06869,R06870,R06870,R06871,R06871,R06872,R06872,R07376,R07376,R07377,R07377,R07390,R07390,R08966,R08966,R09034,R09034,R09035,R09035,R09036,R09036,R09037,R09037,R09038,R09038,R09072,R09072,R09073,R09073,R09944,R09944,R10255,R10255,R10325,R10325,R10326,R10326,R10331,R10331,R11062,R11062,R12241,R12241,R12699,R12699,R12700,R12700,R12701,R12701,R12757,R12757	K00006,K00057,K00096,K00105,K00111,K00112,K00113,K00550,K00551,K00570,K00623,K00629,K00630,K00631,K00649,K00650,K00655,K00866,K00894,K00901,K00967,K00968,K00980,K00981,K00993,K00994,K00995,K00998,K00999,K01004,K01047,K01048,K01049,K01058,K01080,K01094,K01095,K01096,K01114,K01115,K01126,K01517,K01521,K01613,K03735,K03736,K04019,K04714,K05929,K05939,K06123,K06124,K06128,K06129,K06130,K06131,K06132,K06900,K07029,K07094,K08591,K08729,K08730,K08744,K13333,K13506,K13507,K13508,K13509,K13510,K13511,K13512,K13513,K13514,K13515,K13516,K13517,K13519,K13523,K13535,K13618,K13621,K13622,K13623,K13644,K14156,K14286,K14621,K14674,K14676,K15728,K16342,K16343,K16368,K16369,K16619,K16817,K16818,K16860,K17103,K17104,K17105,K17717,K17830,K18693,K18694,K18695,K18696,K18697,K19007,K19664,K19665,K22389,K22697,K22831,K24872,K25193	C00040,C00065,C00084,C00093,C00111,C00114,C00157,C00189,C00269,C00307,C00344,C00346,C00350,C00416,C00513,C00570,C00588,C00623,C00641,C00670,C00681,C01194,C01210,C01233,C01241,C01996,C02737,C03372,C03819,C03872,C03892,C03974,C04230,C04233,C04308,C04438,C04590,C04638,C05973,C05974,C05976,C05980,C06771,C06772,C13482,C18059,C18125,C18126,C18129,C18168,C18169,C20466,C20518,C22340,C22341,C22342
map04611	Platelet activation		K00509,K00907,K00922,K01313,K01832,K02649,K03900,K03903,K03904,K03905,K03914,K04236,K04263,K04264,K04270,K04298,K04345,K04350,K04353,K04371,K04441,K04456,K04513,K04514,K04630,K04632,K04634,K04639,K04958,K04959,K04960,K05215,K05692,K05703,K05704,K05719,K05732,K05854,K05855,K05858,K05859,K06069,K06236,K06260,K06261,K06262,K06263,K06264,K06269,K06270,K06271,K06274,K06472,K06476,K06481,K06493,K07361,K07370,K07376,K07532,K07836,K07983,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K08508,K08512,K08627,K12318,K12319,K12330,K12361,K12757,K13242,K16056,K16059,K16342,K17084,K17388,K17704,K18952,K19477,K19720,K21289,K21290	C00002,C00008,C00076,C00165,C00219,C00427,C00533,C00575,C00942,C01245,C01312,C02198,C05956,C05981
map01062	Biosynthesis of terpenoids and steroids			C00022,C00024,C00026,C00036,C00042,C00074,C00085,C00092,C00118,C00122,C00129,C00149,C00158,C00197,C00235,C00236,C00267,C00311,C00341,C00353,C00354,C00356,C00381,C00417,C00418,C00448,C00521,C00631,C00751,C00859,C01054,C01143,C01414,C01433,C01499,C01500,C01753,C01789,C01852,C01902,C02004,C02094,C02344,C02462,C03190,C04574,C05413,C05432,C05433,C05442,C05859,C06071,C06074,C06076,C06081,C06082,C06089,C06090,C06098,C06099,C06304,C06308,C06394,C07394,C07601,C07667,C08601,C08616,C08624,C08627,C08628,C08748,C08797,C08814,C09189,C09621,C09684,C09704,C09839,C09847,C09848,C09849,C09871,C11356,C11388,C11389,C11393,C11434,C11437,C11811,C11878,C11894,C11901,C12142,C13453,C16141,C16143,C16521
map05219	Bladder cancer		K00758,K01388,K01398,K01403,K02089,K02833,K04357,K04361,K04365,K04366,K04368,K04369,K04371,K04377,K04445,K04451,K04503,K05083,K05094,K05448,K05689,K05704,K06618,K06620,K06621,K06625,K06643,K07827,K07828,K08523,K08803,K08845,K09389,K09850,K10030,K16857,K17454,K19520	
map04960	Aldosterone-regulated sodium reabsorption		K00071,K00922,K01538,K01539,K01540,K02649,K02677,K04371,K04526,K04527,K04824,K04825,K04827,K04995,K05459,K06276,K06644,K07827,K08555,K13302,K13305,K13358,K13359,K16172,K19662,K19663	C00238,C00575,C00698,C00735,C00762,C01330,C01780,C05981
map00403	Indole diterpene alkaloid biosynthesis	R10349,R10349,R10350,R10350,R10351,R10351,R10352,R10352,R10353,R10353,R10356,R10356,R10357,R10357,R10358,R10358,R10359,R10359,R10360,R10360,R10361,R10361,R10362,R10362,R10365,R10365,R10366,R10366,R10367,R10367,R10368,R10368,R10369,R10369,R10370,R10370,R10371,R10371,R10372,R10372,R10373,R10373,R10376,R10376,R10379,R10379,R10380,R10380,R10381,R10381,R10382,R10382,R10383,R10383,R10384,R10384,R10405,R10405,R10406,R10406,R10410,R10410,R10566,R10566,R10569,R10569,R10570,R10570,R10571,R10571,R10692,R10692,R10694,R10694	K18385,K18386,K18387,K18388,K18389,K18390,K18391,K18392,K18393,K18394,K18395,K18396,K18397	C00353,C03506,C13782,C20525,C20526,C20527,C20528,C20529,C20530,C20531,C20532,C20534,C20535,C20536,C20542,C20543,C20545,C20546,C20548,C20550,C20551,C20552,C20553,C20554,C20555,C20561,C20586,C20587,C20593,C20594,C20595,C20596,C20601
map00311	Penicillin and cephalosporin biosynthesis	R02170,R02170,R03062,R03062,R03063,R03063,R03064,R03064,R04147,R04147,R04870,R04870,R04872,R04872,R05229,R05229,R05230,R05230,R05301,R05301,R05302,R05302,R05303,R05303,R06361,R06361,R06363,R06363,R07400,R07400,R07401,R07401,R07402,R07402	K00273,K01060,K01434,K04126,K04127,K04128,K10852,K12743,K12744,K12745,K12747,K12748,K17836,K18062,K19200,K24041	C00097,C00183,C00395,C00916,C00956,C02954,C03112,C04712,C05556,C05557,C06564,C06565,C06566,C06567,C06568,C06569,C07756,C15666
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	R04104,R04104,R05925,R05925,R05926,R05926,R05927,R05927,R05928,R05928,R05929,R05929,R05931,R05931,R05932,R05932	K00733,K00734,K00746,K00747,K00771,K01017,K01020,K01794,K03193,K03419,K04742,K04743,K07779,K08105,K08106,K10158,K13499,K13500	C00053,C00054,C00401,C01490,C02189
map04820	Cytoskeleton in muscle cells		K01490,K01539,K01540,K01689,K02184,K04512,K04659,K04660,K05637,K05692,K05700,K05717,K05719,K05738,K05740,K05741,K05745,K05865,K06114,K06115,K06236,K06237,K06238,K06254,K06255,K06257,K06265,K06271,K06273,K06476,K06480,K06481,K06482,K06483,K06484,K06485,K06487,K06493,K06525,K06583,K06584,K06585,K06586,K06587,K06588,K06589,K06590,K06591,K06793,K06825,K06826,K07597,K07601,K07606,K07610,K07611,K08118,K08131,K08573,K09255,K09259,K09290,K09377,K10056,K10351,K10352,K10354,K10364,K10365,K10366,K10370,K10371,K10372,K10373,K10374,K10375,K10381,K10388,K10653,K10654,K10655,K12042,K12043,K12044,K12045,K12046,K12314,K12315,K12557,K12558,K12563,K12564,K12565,K12566,K12567,K12568,K12569,K12641,K12642,K12749,K12750,K12753,K12754,K12755,K12758,K14211,K14365,K14380,K16336,K16337,K16338,K16857,K17307,K17531,K17751,K18267,K19326,K19346,K19347,K19532,K19720,K19721,K19867,K19875,K19879,K21073,K21433,K21434,K21438,K21761,K22028,K22030,K22194,K23342,K23353,K23932,K23957,K23958,K24063,K24064,K24066,K24220,K24414,K24421,K24494,K24495,K25865,K26050,K26998,K27061,K27062,K27381,K27382,K27393,K27488	
map04962	Vasopressin-regulated water reabsorption		K04228,K04345,K04632,K04648,K05242,K05870,K06027,K07887,K07888,K07889,K07904,K07905,K08043,K08046,K08049,K09047,K09048,K09865,K09866,K09876,K10413,K10414,K10415,K10416,K10417,K10418,K10424,K10426,K10427,K10428,K12462,K13502,K13504	C00001,C00575
map04974	Protein digestion and absorption		K01278,K01285,K01291,K01298,K01300,K01310,K01312,K01345,K01346,K01389,K01395,K01538,K01539,K01540,K04897,K04916,K04926,K04945,K05006,K05334,K05612,K05616,K05849,K06002,K06236,K06237,K06238,K06519,K06823,K07603,K08131,K08132,K08133,K08135,K08187,K08606,K08779,K08780,K09632,K09708,K12040,K13781,K13867,K13868,K14206,K14207,K14208,K14209,K14210,K14211,K16617,K16628,K16629,K16630,K19479,K19719,K19720,K19721,K23455,K23619,K24339,K24340,K24355,K24356,K24357,K24358	C00011,C00014,C00025,C00033,C00037,C00041,C00047,C00049,C00062,C00064,C00065,C00073,C00076,C00078,C00079,C00080,C00082,C00097,C00099,C00123,C00134,C00135,C00146,C00148,C00152,C00163,C00183,C00188,C00238,C00246,C00282,C00388,C00407,C00463,C00483,C00491,C01327,C01330,C01438,C01468,C01672,C01746,C02632,C05996,C08262,C16138,C18319
map04137	Mitophagy - animal		K02833,K02927,K02977,K03097,K03115,K03173,K03237,K04374,K04440,K04448,K04451,K04506,K04551,K04556,K04570,K04678,K04684,K04735,K05410,K05688,K05704,K06030,K07277,K07827,K07828,K07829,K07830,K07831,K07870,K07871,K07887,K07888,K07889,K07897,K07898,K08268,K08334,K08341,K08770,K08860,K09105,K09408,K09455,K09574,K10435,K10592,K10636,K10660,K11518,K11839,K11851,K11968,K12653,K13525,K14381,K15464,K15465,K15485,K15590,K15637,K15688,K17079,K17081,K17454,K17768,K17770,K17771,K17776,K17907,K17969,K17985,K17986,K17987,K19945,K19946,K20131,K20168,K20195,K21343,K21347,K21348,K21356,K21357,K21361,K27045	C00035,C00044
map05142	Chagas disease		K00922,K01283,K01354,K02373,K02580,K02649,K03156,K03158,K03175,K03456,K03898,K03916,K03982,K03986,K03987,K03988,K03990,K04354,K04371,K04379,K04382,K04388,K04389,K04390,K04398,K04430,K04440,K04441,K04448,K04456,K04467,K04500,K04519,K04534,K04630,K04632,K04633,K04634,K04635,K04636,K04637,K04674,K04687,K04724,K04729,K04730,K04733,K04734,K04735,K05132,K05133,K05405,K05406,K05408,K05415,K05425,K05429,K05443,K05842,K05858,K06450,K06451,K06452,K06453,K07209,K07210,K08041,K08057,K08571,K10030,K10159,K10160,K10161,K10169,K10784,K10785,K12499,K13241,K13375,K13376,K13377,K13729,K14624,K23590,K23591	C00062,C00076,C00533,C00575,C01245,C05981
map07057	Antiparkinsonian agents			
map04136	Autophagy - other		K00914,K04382,K07203,K07204,K08266,K08269,K08330,K08331,K08333,K08334,K08336,K08337,K08339,K08341,K08342,K08343,K17606,K17888,K17890,K17906,K17907,K17908,K19730	C00350,C01194,C04549
map00053	Ascorbate and aldarate metabolism	R00068,R00068,R00095,R00095,R00264,R00264,R00286,R00286,R00640,R00640,R00643,R00643,R00645,R00645,R00646,R00646,R00647,R00647,R00889,R00889,R01108,R01108,R01184,R01184,R01381,R01381,R01383,R01383,R01385,R01385,R01476,R01476,R01478,R01478,R01481,R01481,R01483,R01483,R01574,R01574,R01575,R01575,R01757,R01757,R01784,R01784,R02278,R02278,R02279,R02279,R02522,R02522,R02526,R02526,R02634,R02634,R02637,R02637,R02639,R02639,R02714,R02714,R02715,R02715,R02752,R02752,R02754,R02754,R02933,R02933,R02957,R02957,R03032,R03032,R03183,R03183,R03184,R03184,R03185,R03185,R03186,R03186,R03244,R03244,R03277,R03277,R03733,R03733,R04515,R04515,R04784,R04784,R04785,R04785,R05608,R05608,R05850,R05850,R07125,R07125,R07127,R07127,R07671,R07671,R07672,R07672,R07673,R07673,R07674,R07674,R07675,R07675,R07676,R07676,R07677,R07677,R07678,R07678,R07679,R07679,R07680,R07680,R08056,R08056,R08615,R08615,R09186,R09186,R09540,R09540,R10787,R10787,R10841,R10841,R10846,R10846,R10847,R10847,R12146,R12146,R12155,R12155,R12156,R12156,R12661,R12661,R12761,R12761	K00002,K00012,K00062,K00063,K00064,K00103,K00107,K00128,K00149,K00225,K00423,K00434,K00469,K00699,K00880,K01053,K01195,K01630,K01683,K01706,K01707,K01708,K02821,K02822,K03077,K03078,K03079,K03475,K03476,K08092,K08232,K08679,K10046,K10047,K12447,K13873,K13874,K13875,K13876,K13877,K14085,K14190,K14259,K14756,K16190,K17744,K18649,K18981,K18982,K18983,K19588,K19590,K19642,K19660,K20023,K21888,K23003,K23004,K23005,K23007,K24443,K25260	C00022,C00026,C00029,C00072,C00096,C00137,C00167,C00191,C00216,C00231,C00259,C00333,C00433,C00545,C00558,C00617,C00618,C00652,C00679,C00684,C00800,C00818,C00878,C00879,C01040,C01041,C01101,C01114,C01115,C01146,C01620,C01825,C02280,C02670,C03033,C03064,C03289,C03291,C03826,C03921,C04037,C04575,C05385,C05411,C05412,C05422,C06316,C14899,C15923,C15924,C15925,C15926,C15930,C16186,C20889,C20896,C21955
map04621	NOD-like receptor signaling pathway		K01165,K01363,K01370,K02161,K02373,K02406,K02580,K02581,K02861,K03156,K03173,K03174,K03175,K03443,K03462,K03671,K04079,K04371,K04394,K04395,K04398,K04403,K04404,K04427,K04440,K04441,K04448,K04467,K04513,K04519,K04570,K04612,K04622,K04693,K04725,K04729,K04733,K04734,K04735,K04741,K04958,K04959,K04960,K04971,K04977,K04982,K05130,K05131,K05220,K05230,K05405,K05410,K05411,K05414,K05415,K05482,K05505,K05842,K05858,K05862,K06030,K06068,K06071,K06630,K07209,K07210,K07211,K08009,K08336,K08339,K08341,K08598,K08645,K08727,K08846,K08847,K09447,K09849,K10030,K10160,K10165,K10435,K10630,K11030,K11217,K11219,K11220,K11221,K11859,K11864,K11974,K12499,K12648,K12650,K12653,K12654,K12792,K12793,K12794,K12795,K12796,K12797,K12798,K12799,K12800,K12801,K12802,K12803,K12804,K12805,K12806,K12807,K12966,K13916,K14139,K14216,K14624,K15040,K15041,K15838,K16060,K17065,K17820,K17890,K20858,K20863,K20864,K20865,K20876,K20894,K20897,K20898,K20899,K20909,K20910,K20911,K20914,K20915,K20916,K20917,K21100,K21356,K21421,K23126,K23691	C00002,C00076,C00155,C00238,C00533,C01245
map04361	Axon regeneration		K00502,K00901,K00922,K01110,K01593,K02599,K04163,K04345,K04346,K04392,K04417,K04422,K04430,K04431,K04440,K04441,K04443,K04459,K04505,K04513,K04527,K04534,K04632,K04634,K04688,K04851,K05099,K05110,K05858,K06068,K06704,K06754,K06839,K06843,K07198,K07203,K07532,K08049,K08268,K09031,K09408,K09442,K10393,K10693,K11593,K12035,K12494,K15528,K16336,K16980,K19862,K20105,K20106,K23439,K23479,K23480,K23487,K23488,K23489	C00076,C00078,C00165,C00575,C00643,C00780,C11695
map07114	Naphthalene family			C00829,C11713,C11714,C14082,C14098
map04130	SNARE interactions in vesicular transport		K04560,K08486,K08487,K08488,K08489,K08490,K08491,K08492,K08493,K08495,K08496,K08497,K08498,K08499,K08500,K08501,K08502,K08503,K08504,K08505,K08506,K08507,K08508,K08509,K08510,K08512,K08513,K08514,K08515,K08516,K08517,K13502,K13504,K13505,K21155	
map05169	Epstein-Barr virus infection		K00922,K01510,K02084,K02089,K02091,K02159,K02161,K02187,K02206,K02373,K02580,K02581,K02649,K02861,K03028,K03029,K03030,K03031,K03032,K03033,K03035,K03036,K03037,K03038,K03039,K03061,K03062,K03063,K03064,K03065,K03066,K03156,K03160,K03171,K03173,K03174,K03175,K03511,K03875,K04012,K04377,K04390,K04392,K04398,K04399,K04402,K04403,K04404,K04427,K04430,K04431,K04432,K04433,K04440,K04441,K04448,K04451,K04456,K04466,K04467,K04469,K04503,K04692,K04693,K04726,K04729,K04730,K04733,K04734,K04735,K05130,K05131,K05405,K05410,K05411,K05414,K05415,K05653,K05654,K05718,K05854,K05855,K05859,K05872,K06053,K06054,K06063,K06065,K06066,K06067,K06256,K06450,K06451,K06452,K06453,K06465,K06468,K06490,K06492,K06618,K06620,K06624,K06625,K06626,K06627,K06643,K06691,K06751,K06752,K06856,K07209,K07210,K07211,K07370,K07371,K07606,K08055,K08056,K08057,K08058,K08738,K09253,K09279,K09389,K09447,K09849,K10140,K10151,K10152,K10159,K10591,K10784,K10785,K10881,K11217,K11218,K11219,K11220,K11221,K11644,K11838,K11859,K12159,K12646,K12648,K12671,K14021,K14216,K16195,K16341,K17454,K19202,K19450,K19451,K19452,K19453,K19455,K19456,K19457,K19458,K19459,K19460,K19461,K19462,K19463,K21855,K21856,K22972,K22973,K22974,K22975,K23074	C00076,C01245,C05981
map00061	Fatty acid biosynthesis	R00390,R00390,R00742,R00742,R01280,R01280,R01403,R01403,R01404,R01404,R01624,R01624,R01626,R01626,R01706,R01706,R02767,R02767,R02768,R02768,R02814,R02814,R03370,R03370,R04014,R04014,R04355,R04355,R04428,R04428,R04429,R04429,R04430,R04430,R04533,R04533,R04534,R04534,R04535,R04535,R04536,R04536,R04537,R04537,R04543,R04543,R04544,R04544,R04566,R04566,R04568,R04568,R04724,R04724,R04725,R04725,R04726,R04726,R04952,R04952,R04953,R04953,R04954,R04954,R04955,R04955,R04956,R04956,R04957,R04957,R04958,R04958,R04959,R04959,R04960,R04960,R04961,R04961,R04962,R04962,R04963,R04963,R04964,R04964,R04965,R04965,R04966,R04966,R04967,R04967,R04968,R04968,R04969,R04969,R04970,R04970,R05188,R05188,R05190,R05190,R07639,R07639,R07762,R07762,R07763,R07763,R07764,R07764,R07765,R07765,R08157,R08157,R08158,R08158,R08159,R08159,R08161,R08161,R08162,R08162,R08163,R08163,R10208,R10208,R10700,R10700,R10707,R10707,R10714,R10714,R12300,R12300,R12328,R12328,R12329,R12329	K00059,K00208,K00209,K00645,K00647,K00648,K00665,K00667,K00668,K01071,K01716,K01897,K01946,K01961,K01962,K01963,K02160,K02371,K02372,K03921,K03922,K07512,K09458,K10780,K10781,K10782,K11262,K11263,K11533,K11539,K13370,K15013,K16363,K18472,K18473,K18474,K18660,K22540,K22541	C00024,C00083,C00154,C00173,C00229,C00249,C00383,C00638,C00685,C00693,C00712,C01203,C01209,C01271,C01530,C01571,C02679,C02843,C03939,C04088,C04180,C04246,C04618,C04619,C04620,C04633,C04688,C05223,C05744,C05745,C05746,C05747,C05748,C05749,C05750,C05751,C05752,C05753,C05754,C05755,C05756,C05757,C05758,C05759,C05760,C05761,C05762,C05763,C05764,C06423,C06424,C08362,C16219,C16220,C16221,C16520,C20683,C20794
map05034	Alcoholism		K00274,K00501,K00908,K01593,K02183,K02833,K03099,K04144,K04145,K04266,K04267,K04345,K04347,K04355,K04360,K04364,K04365,K04366,K04368,K04371,K04374,K04450,K04534,K04536,K04537,K04538,K04539,K04540,K04541,K04542,K04543,K04544,K04545,K04546,K04547,K04548,K04549,K04630,K04632,K05036,K05208,K05209,K05210,K05211,K05212,K05213,K05214,K05232,K05256,K05869,K05870,K06067,K06269,K06279,K07359,K07825,K07826,K07827,K07828,K08045,K08155,K08845,K09029,K09047,K09048,K09049,K11251,K11252,K11253,K11254,K11303,K11404,K11405,K11406,K11407,K11408,K11409,K11418,K15014,K15494,K15840,K15985,K17447,K17448,K17449,K18671	C00025,C00027,C00076,C00082,C00212,C00355,C00469,C00575,C01161,C03758
map07110	Benzoic acid family			C00108,C00156
